,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
8403,425514,Surat,Natural Ice Cream,300.0,4.6,100,Ice Cream,"Umra Jakat, Umra Jakat, Surat",1
8404,426114,Hyderabad,Cakes07,398.0,2.9,80,Bakery,"Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8405,426351,Kolkata,Mac Kitchen,400.0,2.9,80,"Indian,Chinese","Alipore, Alipore, Kolkata",1
8406,426422,Chennai,Delara,1600.0,2.9,80,Indian,"Annanagar, Annanagar, Chennai",2
8407,426785,Surat,Fastfoodz,600.0,2.9,80,Snacks,"Varachha, Varachha, Surat",1
8408,426896,Kolkata,To Go,400.0,4.8,20,"Pastas,Indian,Desserts,Beverages","Alipore, Alipore, Kolkata",1
8409,426983,Hyderabad,The Magical Stone,400.0,2.9,80,"Ice Cream,Beverages","Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8410,427083,Mumbai,All Fruits Juice,600.0,2.9,80,"Beverages,Juices","Chembur, Chembur, Mumbai",1
8411,427092,Kolkata,Ma Bhawani,300.0,2.9,80,Indian  Snacks,"Alipore, Alipore, Kolkata",1
8412,427190,Kolkata,Kishus,300.0,2.9,80,South Indian,"Alipore, Alipore, Kolkata",1
8413,427388,Delhi,Eat Thrill Zone,600.0,4.3,20,"Bakery,Tandoor,Fast Food,Chinese,Continental","Rohini, Rohini, Delhi",1
8414,427393,Ahmedabad,Moms Makhni Punjabi Food,600.0,2.9,80,Indian,"Prahlad Nagar, Prahlad Nagar, Ahmedabad",1
8415,427703,Hyderabad,Mumbai Kulfi Kothapet,300.0,2.9,80,"Ice Cream,Desserts","Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8416,428657,Chennai,Pachcha Kaththi,800.0,2.9,80,Indian,"T Nagar, T Nagar, Chennai",1
8417,428701,Chennai,Juice Box,500.0,2.9,80,"Beverages,Snacks,Fast Food","Vadapalani, Vadapalani, Chennai",1
8418,428717,Hyderabad,Chai Vaai Cafe,400.0,2.9,80,Snacks  Indian  Chinese,"Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8419,428773,Ahmedabad,Puffx Live Puff,400.0,2.9,80,Snacks,"Vastrapur, Vastrapur, Ahmedabad",1
8420,429131,Hyderabad,Dosa House Restaurant,300.0,2.9,80,South Indian  Biryani,"Banjara Hills, Banjara Hills, Hyderabad",1
8421,429135,Ahmedabad,The House Of Momo'S,400.0,4.3,20,"Tibetan,Chinese,Indian","Maninagar, Maninagar, Ahmedabad",1
8422,429273,Kolkata,Crazy Chaap Corner,600.0,2.9,80,"Tandoor,Chinese,Beverages","Lake Town, Lake Town, Kolkata",1
8423,429308,Delhi,Quickey Snacks Corner,400.0,2.9,80,"Chinese,Snacks","Ashok Vihar, Ashok Vihar, Delhi",1
